FilmID,Title,RunTimeMinutes,Genre
541,The Enforcer,96,Action
542,Midway,131,War
543,Jaws,124,Thriller
544,The Rocky Horror Picture Show,100,Musical
545,One Flew Over the Cuckoo's Nest,133,Drama
546,Dog Day Afternoon,125,Crime
547,Shampoo,110,Drama
548,The Return of the Pink Panther,114,Comedy
553,Blazing Saddles,92,Comedy
554,The Towering Inferno,165,Disaster
556,Young Frankenstein,105,Comedy
557,Earthquake,121,Disaster
558,The Godfather Part II,202,Crime
559,Airport 1975,106,Disaster
561,The Longest Yard,121,Comedy
563,The Sting,129,Crime
564,The Exorcist,121,Horror
565,American Graffiti,112,Drama
566,Papillon,150,Crime
568,Magnum Force,124,Action
570,Robin Hood,83,Animation
572,The Godfather,177,Crime
573,The Poseidon Adventure,117,Disaster
576,Deliverance,110,Thriller
578,Cabaret,124,Musical
582,Fiddler on the Roof,179,Musical
583,The French Connection,104,Crime
584,Dirty Harry,102,Thriller
588,A Clockwork Orange,136,Drama
589,Bedknobs and Broomsticks,117,Adventure
590,Love Story,100,Romance
591,Airport,137,Disaster
592,MASH,116,Comedy
593,Patton,170,Biography
598,Tora! Tora! Tora!,144,War
600,Butch Cassidy and the Sundance Kid,110,Western
601,Midnight Cowboy,113,Drama
602,Easy Rider,95,Drama
605,Paint Your Wagon,154,Musical
606,True Grit,128,Western
609,2001: A Space Odyssey,142,Science Fiction
611,The Love Bug,108,Comedy
612,The Odd Couple,105,Comedy
613,Bullitt,113,Crime
614,Romeo and Juliet,138,Romance
615,Oliver!,153,Musical
617,Planet of the Apes,112,Science Fiction
618,The Graduate,105,Comedy
619,The Jungle Book,78,Animation
621,Bonnie and Clyde,111,Crime
622,The Dirty Dozen,150,War
627,Night of the Living Dead,96,Horror
633,"The Good, the Bad and the Ugly",177,Western
636,Grand Prix,179,Sport
638,The Sound of Music,174,Musical
639,Doctor Zhivago,193,Romance
644,What's New Pussycat?,108,Comedy
646,Von Ryan's Express,117,War
647,Mary Poppins,139,Musical
648,My Fair Lady,170,Musical
650,A Fistful of Dollars,99,Western
652,A Shot in the Dark,102,Comedy
653,A Hard Day's Night,87,Musical
655,Cleopatra,248,History
656,How the West Was Won,164,Western
657,"It's a Mad, Mad, Mad, Mad World",210,Comedy
660,The Sword in the Stone,79,Animation
662,The Birds,119,Horror
664,Lawrence of Arabia,222,Biography
665,The Longest Day,178,War
669,Mutiny on the Bounty,185,History
670,To Kill a Mockingbird,129,Drama
674,West Side Story,152,Musical
675,The Guns of Navarone,158,War
676,El Cid,184,History
677,The Absent-Minded Professor,97,Comedy
678,The Parent Trap,128,Comedy
679,La Dolce Vita,174,Comedy
682,One Hundred and One Dalmatians,79,Animation
684,Spartacus,184,History
685,Psycho,109,Horror
687,Swiss Family Robinson,126,Adventure
688,The Alamo,167,War
691,Ocean's 11,127,Comedy
694,Ben-Hur,212,Drama
695,Sleeping Beauty,75,Animation
696,North by Northwest,136,Thriller
697,Some Like It Hot,121,Romantic Comedy
702,Rio Bravo,141,Western
704,South Pacific,171,Musical
706,Cat on a Hot Tin Roof,107,Drama
709,The Vikings,116,Adventure
710,Vertigo,128,Thriller
714,The Bridge on the River Kwai,161,War
717,Old Yeller,83,Drama
721,A Farewell to Arms,152,Drama
722,Gunfight at the O.K. Corral,122,Western
724,The Ten Commandments,220,Fantasy
726,War and Peace,208,Drama
727,The King and I,133,Musical
728,The Searchers,119,Western
731,High Society,111,Musical
736,Oklahoma!,145,Musical
737,Guys and Dolls,150,Musical
738,Lady and the Tramp,75,Animation
744,"20,000 Leagues Under the Sea",127,Adventure
753,The Robe,135,Drama
754,From Here to Eternity,118,Drama
755,Shane,118,Western
757,Peter Pan,76,Animation
761,Gentlemen Prefer Blondes,91,Musical
766,Ivanhoe,106,Adventure
767,Singin' in the Rain,103,Musical
769,Moulin Rouge,119,Drama
774,Alice in Wonderland,75,Animation
776,A Streetcar Named Desire,122,Drama
779,The African Queen,105,Adventure
781,Strangers on a Train,101,Thriller
783,Cinderella,75,Animation
784,King Solomon's Mines,103,Adventure
785,Annie Get Your Gun,107,Musical
796,Sands of Iwo Jima,100,War
853,For Whom the Bell Tolls,170,War
858,Casablanca,102,Drama
885,The Great Dictator,124,Comedy
887,The Grapes of Wrath,129,Drama
893,Gone with the Wind,221,Romance
899,"Goodbye, Mr. Chips",114,Drama
900,The Wizard of Oz,101,Fantasy
911,Angels with Dirty Faces,97,Crime
913,Snow White and the Seven Dwarfs,83,Animation
941,Anna Karenina,95,Drama
972,Frankenstein,71,Horror
977,Dracula,85,Horror
982,All Quiet on the Western Front,152,War
1063,The Kid,68,Comedy
1120,Star Wars: The Force Awakens,136,Science Fiction
1121,Jurassic World,124,Adventure
1122,Furious 7,137,Action
1123,Avengers: Age of Ultron,141,Action
1124,Minions,91,Animation
1125,Spectre,148,Thriller
1126,Inside Out,94,Animation
1127,Mission: Impossible - Rogue Nation,131,Action
1128,The Hunger Games: Mockingjay - Part 2,137,Science Fiction
1129,The Martian,141,Science Fiction
1130,Captain America: Civil War,147,Action
1131,Finding Dory,97,Animation
1132,Zootopia,108,Animation
1133,The Jungle Book,105,Adventure
1134,Batman v Superman: Dawn of Justice,151,Action
1135,The Secret Life of Pets,87,Animation
1136,Deadpool,108,Action
1137,Suicide Squad,123,Action
1138,The Mermaid,94,Fantasy
1139,X-Men: Apocalypse,144,Action
1140,Doctor Strange,115,Action
1141,City of God,130,Crime
1142,The Parent Trap,128,Comedy
1143,Captain Blood,119,Adventure
1144,The Adventures of Robin Hood,102,Adventure
1145,The Charge of the Light Brigade,115,Adventure
1146,The Hound of the Baskervilles,81,Mystery
1147,The Adventures of Sherlock Holmes,81,Mystery
1148,Mutiny on the Bounty,132,Drama
1149,The Misfits,125,Drama
1150,Lolita,152,Drama
1151,The 39 Steps,86,Thriller
1152,Citizen Kane,119,Drama
1153,Metropolis,153,Science Fiction
1154,Anna Karenina,139,Drama
1155,Scarface,95,Crime
1156,The Public Enemy,83,Crime
1157,It's a Wonderful Life,130,Fantasy
1158,Mr. Smith Goes to Washington,129,Comedy
1159,Brief Encounter,86,Romance
1160,The Killers,103,Crime
1161,The Seventh Veil,94,Crime
1162,Great Expectations,113,Drama
1163,Miracle on 34th Street,96,Comedy
1164,Hamlet,155,Drama
1165,Joan of Arc,145,Biography
1166,The Three Musketeers,125,Adventure
1167,The Big Boss,110,Martial Arts
1168,Fist of Fury,108,Martial Arts
1169,Way of the Dragon,100,Martial Arts
1170,Game of Death,85,Martial Arts
1171,Enter the Dragon,102,Martial Arts
1172,Monty Python and the Holy Grail,92,Comedy
1173,Monty Python's Life of Brian,93,Comedy
1174,Drunken Master,110,Martial Arts
1175,Half a Loaf of Kung Fu,98,Martial Arts
1176,Snake and Crane Arts of Shaolin,93,Martial Arts
1177,The Fearless Hyena,97,Martial Arts
1178,Snake in the Eagle's Shadow,98,Martial Arts
1179,Spiritual Kung Fu,97,Martial Arts
1180,Dragon Fist,93,Martial Arts
1181,Magnificent Bodyguards,78,Martial Arts
1182,The Young Master,106,Martial Arts
1183,Project A,106,Martial Arts
1184,Wheels on Meals,104,Martial Arts
1185,Cannonball Run II,108,Comedy
1186,Police Story,101,Martial Arts
1187,Winners and Sinners,101,Martial Arts
1188,My Lucky Stars,96,Martial Arts
1189,"Twinkle, Twinkle Lucky Stars",90,Martial Arts
1190,Armour of God,97,Martial Arts
1191,Project A Part II,106,Martial Arts
1192,Police Story 2,101,Martial Arts
1193,Dragons Forever,94,Martial Arts
1194,Armour of God II: Operation Condor,106,Martial Arts
1195,Police Story 3: Super Cop,95,Martial Arts
1196,Once Upon a Time in China,134,Martial Arts
1197,Twin Dragons,104,Martial Arts
1198,Once Upon a Time in China II,113,Martial Arts
1199,Once Upon a Time in China III,105,Martial Arts
1200,Fong Sai-yuk,106,Martial Arts
1201,Fong Sai-yuk II,96,Martial Arts
1202,Fist of Legend,103,Martial Arts
1203,Romeo Must Die,115,Action
1204,The One,87,Science Fiction
1205,Kiss of the Dragon,98,Action
1206,Cradle 2 the Grave,101,Action
1207,Unleashed,102,Martial Arts
1208,Fearless,105,Martial Arts
1209,The Warlords,127,War
1210,Dragon,116,Martial Arts
1211,The Forbidden Kingdom,104,Martial Arts
1212,The Mummy: Tomb of the Dragon Emperor,111,Adventure
1213,The Expendables,103,Action
1214,The Expendables 2,103,Action
1215,The Expendables 3,126,Action
1216,The Incredible Hulk,112,Action
